scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,household consumption,GasDist,RuralHH,,10 billion CNY,0.69585574
BAU,2017,household consumption,GasDist,UrbanHH,,10 billion CNY,17.774776
BAU,2017,output,,WatDist,,10 billion CNY,24.904888
BAU,2017,production cost,,WatDist,,1,1.0
BAU,2017,capital demand,,WatDist,,10 billion CNY,4.6545067
BAU,2017,labor demand,,WatDist,,10 billion CNY,5.247758
BAU,2017,CO2,,WatDist,,0.1 billion tons,0.0025000088
BAU,2017,energy demand,Coal,WatDist,,10 billion CNY,0.0
BAU,2017,energy demand,RefPet,WatDist,,10 billion CNY,0.023445252
BAU,2017,energy demand,ElecDist,WatDist,,10 billion CNY,3.2021732
BAU,2017,energy demand,GasDist,WatDist,,10 billion CNY,0.00030002
BAU,2017,domestic demand,,WatDist,,10 billion CNY,24.904888
BAU,2017,commodity price,,WatDist,,1,1.0
BAU,2017,investment,,WatDist,,10 billion CNY,0.2947893
BAU,2017,government consumption,WatDist,,,10 billion CNY,0.0
BAU,2017,household consumption,WatDist,RuralHH,,10 billion CNY,1.0825189
BAU,2017,household consumption,WatDist,UrbanHH,,10 billion CNY,8.790366
BAU,2017,output,,Constr,,10 billion CNY,2287.8594
BAU,2017,production cost,,Constr,,1,1.0
BAU,2017,capital demand,,Constr,,10 billion CNY,130.1373
BAU,2017,labor demand,,Constr,,10 billion CNY,342.118
BAU,2017,CO2,,Constr,,0.1 billion tons,0.47115228
BAU,2017,energy demand,Coal,Constr,,10 billion CNY,0.6645694
BAU,2017,energy demand,RefPet,Constr,,10 billion CNY,31.050812
BAU,2017,energy demand,ElecDist,Constr,,10 billion CNY,28.771742
BAU,2017,energy demand,GasDist,Constr,,10 billion CNY,0.035306457
BAU,2017,domestic demand,,Constr,,10 billion CNY,2279.607
BAU,2017,commodity price,,Constr,,1,1.0
